Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,100.0,1.45636
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,100.0,1.45636
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,100.0,1.45636
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,100.0,1.45636
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,100.0,1.45636
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,106.262006,1.456074
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,106.262006,1.456074
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,106.262006,1.456074
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,106.262006,1.456074
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,106.262006,1.456074
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,112.916138,1.455396
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,112.916138,1.455396
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,112.916138,1.455396
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,112.916138,1.455396
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,112.916138,1.455396
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,119.986953,1.450011
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,119.986953,1.450011
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,119.986953,1.450011
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,119.986953,1.450011
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,119.986953,1.450011
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,127.500543,1.447864
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,127.500543,1.447864
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,127.500543,1.447864
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,127.500543,1.447864
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,127.500543,1.447864
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,135.484634,1.447415
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,135.484634,1.447415
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,135.484634,1.447415
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,135.484634,1.447415
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,135.484634,1.447415
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,143.968689,1.445535
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,143.968689,1.445535
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,143.968689,1.445535
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,143.968689,1.445535
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,143.968689,1.445535
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,152.984017,1.442516
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,152.984017,1.442516
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,152.984017,1.442516
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,152.984017,1.442516
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,152.984017,1.442516
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,162.563884,1.439342
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,162.563884,1.439342
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,162.563884,1.439342
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,162.563884,1.439342
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,162.563884,1.439342
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,172.743644,1.436356
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,172.743644,1.436356
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,172.743644,1.436356
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,172.743644,1.436356
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,172.743644,1.436356
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,183.56086,1.433355
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,183.56086,1.433355
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,183.56086,1.433355
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,183.56086,1.433355
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,183.56086,1.433355
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,195.055452,1.429578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,195.055452,1.429578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,195.055452,1.429578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,195.055452,1.429578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,195.055452,1.429578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,207.269835,1.424597
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,207.269835,1.424597
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,207.269835,1.424597
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,207.269835,1.424597
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,207.269835,1.424597
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,220.249084,1.42096
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,220.249084,1.42096
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,220.249084,1.42096
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,220.249084,1.42096
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,220.249084,1.42096
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,234.041094,1.418651
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,234.041094,1.418651
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,234.041094,1.418651
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,234.041094,1.418651
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,234.041094,1.418651
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,248.69676,1.412699
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,248.69676,1.412699
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,248.69676,1.412699
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,248.69676,1.412699
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,248.69676,1.412699
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,264.270165,1.410169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,264.270165,1.410169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,264.270165,1.410169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,264.270165,1.410169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,264.270165,1.410169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,280.818777,1.404684
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,280.818777,1.404684
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,280.818777,1.404684
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,280.818777,1.404684
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,280.818777,1.404684
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,298.403665,1.399426
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,298.403665,1.399426
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,298.403665,1.399426
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,298.403665,1.399426
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,298.403665,1.399426
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,317.089719,1.394873
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,317.089719,1.394873
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,317.089719,1.394873
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,317.089719,1.394873
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,317.089719,1.394873
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,336.945895,1.389794
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,336.945895,1.389794
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,336.945895,1.389794
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,336.945895,1.389794
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,336.945895,1.389794
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,358.045466,1.384125
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,358.045466,1.384125
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,358.045466,1.384125
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,358.045466,1.384125
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,358.045466,1.384125
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,380.466293,1.37883
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,380.466293,1.37883
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,380.466293,1.37883
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,380.466293,1.37883
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,380.466293,1.37883
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,404.291113,1.373701
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,404.291113,1.373701
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,404.291113,1.373701
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,404.291113,1.373701
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,404.291113,1.373701
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,429.607845,1.366567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,429.607845,1.366567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,429.607845,1.366567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,429.607845,1.366567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,429.607845,1.366567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,456.509913,1.360428
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,456.509913,1.360428
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,456.509913,1.360428
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,456.509913,1.360428
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,456.509913,1.360428
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,485.096589,1.354101
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,485.096589,1.354101
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,485.096589,1.354101
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,485.096589,1.354101
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,485.096589,1.354101
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,515.473364,1.346958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,515.473364,1.346958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,515.473364,1.346958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,515.473364,1.346958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,515.473364,1.346958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,547.752335,1.339085
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,547.752335,1.339085
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,547.752335,1.339085
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,547.752335,1.339085
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,547.752335,1.339085
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,582.052617,1.332049
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,582.052617,1.332049
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,582.052617,1.332049
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,582.052617,1.332049
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,582.052617,1.332049
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,618.500784,1.323467
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,618.500784,1.323467
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,618.500784,1.323467
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,618.500784,1.323467
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,618.500784,1.323467
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,657.231338,1.315304
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,657.231338,1.315304
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,657.231338,1.315304
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,657.231338,1.315304
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,657.231338,1.315304
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,698.387201,1.306586
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,698.387201,1.306586
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,698.387201,1.306586
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,698.387201,1.306586
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,698.387201,1.306586
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,742.120246,1.298158
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,788.591858,1.288327
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,788.591858,1.288327
