Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = 0.0010x + 0.1,0.001,0.1,501,400,0.5,2823.517389,0.604587
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,380.466293,0.66215
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,358.045466,0.663025
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,336.945895,0.664119
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,317.089719,0.665042
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,456.509913,0.658954
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,264.270165,0.668209
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,404.291113,0.661415
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,485.096589,0.657967
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,234.041094,0.669912
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,220.249084,0.670058
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,207.269835,0.670792
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,195.055452,0.672118
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,280.818777,0.666937
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,1362.24231,0.631975
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,248.69676,0.66834
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,298.403665,0.665816
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,515.473364,0.656733
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,547.752335,0.65529
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,1206.419499,0.635641
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,1135.325362,0.637498
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,1068.420792,0.639132
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,1005.4589,0.640946
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,946.207343,0.642554
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,890.447473,0.644148
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,837.973524,0.645629
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,788.591858,0.647131
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,742.120246,0.648804
y = 0.0010x + 0.1,0.001,0.1,501,320,0.42000000000000004,698.387201,0.650011
