Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = 0.0125x + 10,0.0125,10,1,80,11.0,100.0,2.442539
y = 0.0125x + 10,0.0125,10,1,80,11.0,106.262006,2.441958
y = 0.0125x + 10,0.0125,10,1,80,11.0,112.916138,2.440706
y = 0.0125x + 10,0.0125,10,1,80,11.0,119.986953,2.431474
y = 0.0125x + 10,0.0125,10,1,80,11.0,127.500543,2.4277
y = 0.0125x + 10,0.0125,10,1,80,11.0,135.484634,2.426784
y = 0.0125x + 10,0.0125,10,1,80,11.0,143.968689,2.423429
y = 0.0125x + 10,0.0125,10,1,80,11.0,152.984017,2.418123
y = 0.0125x + 10,0.0125,10,1,80,11.0,162.563884,2.412531
y = 0.0125x + 10,0.0125,10,1,80,11.0,172.743644,2.407233
y = 0.0125x + 10,0.0125,10,1,80,11.0,183.56086,2.40188
y = 0.0125x + 10,0.0125,10,1,80,11.0,195.055452,2.395186
y = 0.0125x + 10,0.0125,10,1,80,11.0,207.269835,2.386416
y = 0.0125x + 10,0.0125,10,1,80,11.0,220.249084,2.379894
y = 0.0125x + 10,0.0125,10,1,80,11.0,234.041094,2.375589
y = 0.0125x + 10,0.0125,10,1,80,11.0,248.69676,2.365061
y = 0.0125x + 10,0.0125,10,1,80,11.0,264.270165,2.360303
y = 0.0125x + 10,0.0125,10,1,80,11.0,280.818777,2.350481
y = 0.0125x + 10,0.0125,10,1,80,11.0,298.403665,2.340994
y = 0.0125x + 10,0.0125,10,1,80,11.0,317.089719,2.332656
y = 0.0125x + 10,0.0125,10,1,80,11.0,336.945895,2.32337
y = 0.0125x + 10,0.0125,10,1,80,11.0,358.045466,2.313022
y = 0.0125x + 10,0.0125,10,1,80,11.0,380.466293,2.303248
y = 0.0125x + 10,0.0125,10,1,80,11.0,404.291113,2.293692
y = 0.0125x + 10,0.0125,10,1,80,11.0,429.607845,2.280649
y = 0.0125x + 10,0.0125,10,1,80,11.0,456.509913,2.269229
y = 0.0125x + 10,0.0125,10,1,80,11.0,485.096589,2.257412
y = 0.0125x + 10,0.0125,10,1,80,11.0,515.473364,2.244118
y = 0.0125x + 10,0.0125,10,1,80,11.0,547.752335,2.229491
y = 0.0125x + 10,0.0125,10,1,80,11.0,582.052617,2.216205
y = 0.0125x + 10,0.0125,10,1,80,11.0,618.500784,2.200177
y = 0.0125x + 10,0.0125,10,1,80,11.0,657.231338,2.184766
y = 0.0125x + 10,0.0125,10,1,80,11.0,698.387201,2.1683
y = 0.0125x + 10,0.0125,10,1,80,11.0,742.120246,2.152225
y = 0.0125x + 10,0.0125,10,1,80,11.0,788.591858,2.133627
y = 0.0125x + 10,0.0125,10,1,80,11.0,837.973524,2.115219
y = 0.0125x + 10,0.0125,10,1,80,11.0,890.447473,2.096356
y = 0.0125x + 10,0.0125,10,1,80,11.0,946.207343,2.076448
y = 0.0125x + 10,0.0125,10,1,80,11.0,1005.4589,2.055916
y = 0.0125x + 10,0.0125,10,1,80,11.0,1068.420792,2.033924
y = 0.0125x + 10,0.0125,10,1,80,11.0,1135.325362,2.012137
y = 0.0125x + 10,0.0125,10,1,80,11.0,1206.419499,1.988814
y = 0.0125x + 10,0.0125,10,1,80,11.0,1281.965555,1.965306
y = 0.0125x + 10,0.0125,10,1,80,11.0,1362.24231,1.940666
y = 0.0125x + 10,0.0125,10,1,80,11.0,1447.546,1.914676
y = 0.0125x + 10,0.0125,10,1,80,11.0,1538.191411,1.888418
y = 0.0125x + 10,0.0125,10,1,80,11.0,1634.513043,1.861836
y = 0.0125x + 10,0.0125,10,1,80,11.0,1736.866341,1.833684
y = 0.0125x + 10,0.0125,10,1,80,11.0,1845.629008,1.805298
y = 0.0125x + 10,0.0125,10,1,80,11.0,1961.202399,1.776127
y = 0.0125x + 10,0.0125,10,1,80,11.0,2084.013003,1.746194
y = 0.0125x + 10,0.0125,10,1,80,11.0,2214.514014,1.715447
y = 0.0125x + 10,0.0125,10,1,80,11.0,2353.187005,1.684195
y = 0.0125x + 10,0.0125,10,1,80,11.0,2500.543706,1.652081
y = 0.0125x + 10,0.0125,10,1,80,11.0,2657.127893,1.619343
y = 0.0125x + 10,0.0125,10,1,80,11.0,2823.517389,1.586586
y = 0.0125x + 10,0.0125,10,1,80,11.0,3000.326206,1.552912
y = 0.0125x + 10,0.0125,10,1,80,11.0,3188.2068,1.518752
y = 0.0125x + 10,0.0125,10,1,80,11.0,3387.852488,1.484377
y = 0.0125x + 10,0.0125,10,1,160,12.0,100.0,2.442539
y = 0.0125x + 10,0.0125,10,1,160,12.0,106.262006,2.441958
y = 0.0125x + 10,0.0125,10,1,160,12.0,112.916138,2.440706
y = 0.0125x + 10,0.0125,10,1,160,12.0,119.986953,2.431474
y = 0.0125x + 10,0.0125,10,1,160,12.0,127.500543,2.4277
