equation_id,profile_type,time_delays,model_ratios
1,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.313532 1.313563 1.313332 1.309736 1.308496 1.308504 1.307509 1.305724
 1.303858 1.302162 1.300489 1.298297 1.295276 1.293266 1.292258 1.288673
 1.287604 1.28446  1.281534 1.279176 1.276502 1.273467 1.270771 1.268266
 1.264392 1.261314 1.258183 1.254548 1.250477 1.247102 1.242707 1.238713
 1.23442  1.230441 1.225558 1.220913 1.216239 1.211293 1.206253 1.200774
 1.195553 1.189863 1.184269 1.178375 1.17209  1.165861 1.159662 1.152968
 1.14633  1.139512 1.132512 1.125301 1.117993 1.110429 1.102691 1.095013
 1.087004 1.078824 1.070564]"
3,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.312868 2.312314 2.311129 2.302457 2.298904 2.298031 2.294869 2.289875
 2.284612 2.279624 2.274583 2.268281 2.260032 2.253889 2.249822 2.239918
 2.235423 2.226176 2.217241 2.209381 2.200628 2.190877 2.181661 2.172645
 2.160359 2.149589 2.138443 2.125909 2.112123 2.099588 2.084481 2.069949
 2.054424 2.039262 2.021735 2.004383 1.986603 1.967843 1.948499 1.92779
 1.907274 1.885323 1.863205 1.840034 1.81561  1.790946 1.765992 1.739586
 1.712981 1.685665 1.657662 1.628928 1.599755 1.569814 1.539334 1.508881
 1.477622 1.445964 1.414166]"
4,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.516978 1.516766 1.516183 1.511064 1.509075 1.508731 1.507015 1.504206
 1.501256 1.498497 1.495731 1.492228 1.487572 1.484225 1.482172 1.476616
 1.474376 1.469298 1.464454 1.460307 1.45567  1.450481 1.445671 1.441042
 1.434498 1.428937 1.423219 1.416735 1.409573 1.403246 1.395452 1.388092
 1.380225 1.37267  1.36379  1.355116 1.346286 1.336973 1.327416 1.31715
 1.307107 1.296317 1.285534 1.274231 1.262287 1.250304 1.238248 1.225425
 1.212574 1.199385 1.185866 1.171982 1.157896 1.143405 1.128631 1.113896
 1.098693 1.083249 1.067699]"
5,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.097992 2.097544 2.096542 2.088941 2.085862 2.085152 2.082428 2.078096
 2.073534 2.069221 2.064869 2.059416 2.052254 2.04696  2.043507 2.03492
 2.031114 2.023133 2.015441 2.008712 2.001213 1.992852 1.98498  1.977306
 1.96677  1.957593 1.948109 1.937427 1.925668 1.915039 1.902175 1.889846
 1.876676 1.863858 1.848993 1.834319 1.819305 1.803466 1.787153 1.76968
 1.752418 1.733936 1.71535  1.69588  1.675353 1.654657 1.633748 1.611604
 1.589326 1.566462 1.54303  1.518991 1.494597 1.469557 1.444066 1.418618
 1.392477 1.365993 1.339388]"
6,exponential,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[2.282165 2.281627 2.280469 2.271956 2.268474 2.267625 2.264528 2.259633
 2.254474 2.249586 2.244647 2.238471 2.230384 2.224367 2.220391 2.210683
 2.206289 2.197231 2.18848  2.180788 2.172221 2.162676 2.153659 2.144842
 2.132815 2.122281 2.111381 2.099122 2.085636 2.073384 2.058609 2.044404
 2.029228 2.014414 1.997281 1.980328 1.962958 1.944633 1.925739 1.905512
 1.88548  1.864047 1.842456 1.819839 1.795998 1.771928 1.747581 1.721816
 1.695863 1.669218 1.641906 1.613883 1.585434 1.556239 1.526519 1.496831
 1.466356 1.435492 1.404492]"
7,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.416376 1.416361 1.416053 1.412016 1.41058  1.41052  1.409346 1.407291
 1.40514  1.40317  1.401219 1.398685 1.395227 1.392879 1.391631 1.387522
 1.386188 1.382546 1.379135 1.376342 1.373187 1.369621 1.366416 1.36341
 1.358874 1.355205 1.351462 1.347147 1.342332 1.338271 1.333064 1.328284
 1.323155 1.318356 1.312535 1.306961 1.301335 1.295388 1.289318 1.282741
 1.27643  1.269581 1.262818 1.255703 1.248135 1.240611 1.233101 1.225024
 1.216992 1.208742 1.200276 1.191559 1.182719 1.17358  1.164235 1.154944
 1.145274 1.135402 1.125431]"
9,logarithmic,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.281264 1.281243 1.280948 1.277185 1.275841 1.275776 1.274675 1.272753
 1.270743 1.2689   1.267074 1.264706 1.261479 1.259283 1.258108 1.254274
 1.253018 1.249617 1.246431 1.243817 1.240866 1.237533 1.234534 1.231719
 1.227482 1.224049 1.220546 1.216511 1.21201  1.208208 1.203341 1.198868
 1.19407  1.189576 1.184133 1.178915 1.173648 1.168081 1.162397 1.156241
 1.150328 1.143913 1.137575 1.130907 1.123818 1.116764 1.109718 1.102146
 1.09461  1.086867 1.07892  1.070737 1.062436 1.053854 1.045077 1.036345
 1.027261 1.017987 1.008619]"
10,gaussian,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.110677 1.110648 1.110366 1.106868 1.105614 1.105544 1.104513 1.102722
 1.100849 1.099131 1.097428 1.095223 1.092221 1.090175 1.089075 1.085511
 1.084334 1.08117  1.078205 1.07577  1.073022 1.069919 1.067126 1.064501
 1.060561 1.057363 1.054099 1.050342 1.046154 1.042609 1.038079 1.033911
 1.02944  1.025248 1.020177 1.015311 1.010396 1.005201 0.999894 0.994148
 0.988621 0.982626 0.976696 0.970457 0.963823 0.957214 0.950604 0.943502
 0.936424 0.929146 0.92167  0.913966 0.906142 0.898048 0.889763 0.881505
 0.87291  0.864128 0.855245]"
11,polynomial,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.01417  1.014368 1.014411 1.012311 1.011737 1.011981 1.011599 1.010727
 1.009824 1.009048 1.008309 1.007259 1.005701 1.004814 1.004596 1.002752
 1.002548 1.001043 0.999708 0.998769 0.997659 0.996353 0.995299 0.994403
 0.99267  0.991485 0.990307 0.988849 0.987155 0.985951 0.984141 0.982635
 0.980988 0.979591 0.977668 0.97595  0.974268 0.972467 0.970664 0.968639
 0.966837 0.964796 0.962879 0.960832 0.958601 0.956471 0.954424 0.952131
 0.949941 0.947705 0.945426 0.943083 0.940751 0.938331 0.935876 0.933536
 0.931066 0.928567 0.926101]"
12,fourier,"[ 100.        106.262006  112.916138  119.986953  127.500543  135.484634
  143.968689  152.984017  162.563884  172.743644  183.56086   195.055452
  207.269835  220.249084  234.041094  248.69676   264.270165  280.818777
  298.403665  317.089719  336.945895  358.045466  380.466293  404.291113
  429.607845  456.509913  485.096589  515.473364  547.752335  582.052617
  618.500784  657.231338  698.387201  742.120246  788.591858  837.973524
  890.447473  946.207343 1005.4589   1068.420792 1135.325362 1206.419499
 1281.965555 1362.24231  1447.546    1538.191411 1634.513043 1736.866341
 1845.629008 1961.202399 2084.013003 2214.514014 2353.187005 2500.543706
 2657.127893 2823.517389 3000.326206 3188.2068   3387.852488]","[1.505031 1.504711 1.503993 1.498522 1.496312 1.49581  1.49386  1.490754
 1.487486 1.484401 1.481293 1.477395 1.472273 1.468498 1.466054 1.459924
 1.457236 1.451554 1.446088 1.44132  1.436008 1.430086 1.424524 1.419113
 1.411661 1.405195 1.398519 1.390999 1.382722 1.375267 1.366228 1.357589
 1.348365 1.339411 1.329014 1.318775 1.308313 1.297288 1.285949 1.273812
 1.261852 1.249057 1.236219 1.22279  1.20865  1.194431 1.180105 1.164955
 1.14976  1.134206 1.11831  1.102049 1.085603 1.068773 1.051699 1.034729
 1.017353 0.999817 0.982277]"
